Nombre,Plataforma,Lanzamiento,Genero,V_NA,V_EU,V_JP,V_Otros,V_Global,Score,ESRB,Exito
Castlevania: Curse of Darkness,PS2,2005,Action,0.18,0.14,0.05,0.05,0.42,70.0,M,0
Mortal Kombat: Shaolin Monks,XB,2005,Action,0.23,0.07,0.0,0.01,0.31,78.0,M,0
Tom Clancy's Rainbow Six: Lockdown,XB,2005,Shooter,0.26,0.13,0.0,0.02,0.41,74.0,M,0
Castlevania: Curse of Darkness,XB,2005,Action,0.09,0.03,0.0,0.0,0.12,74.0,M,0
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,0.06,0.05,0.0,0.02,0.12,39.0,T,0
Condemned: Criminal Origins,X360,2005,Action,0.36,0.02,0.0,0.03,0.41,81.0,M,0
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,0.31,0.0,0.0,0.02,0.34,67.0,E,0
The Matrix: Path of Neo,XB,2005,Action,0.23,0.07,0.0,0.01,0.31,73.0,T,0
Gretzky NHL,PSP,2005,Sports,0.1,0.0,0.0,0.01,0.1,61.0,E,0
Pac 'n Roll,DS,2005,Platform,0.09,0.0,0.02,0.01,0.11,72.0,E,0
FIFA Street,PS2,2005,Sports,0.15,0.12,0.0,0.04,0.31,59.0,E,0
Gallop Racer 2006,PS2,2005,Sports,0.02,0.02,0.06,0.01,0.1,69.0,E,0
Spartan: Total Warrior,XB,2005,Action,0.1,0.03,0.0,0.0,0.13,73.0,M,0
Capcom Classics Collection,PS2,2005,Misc,0.22,0.17,0.05,0.06,0.51,78.0,T,0
Robots,PS2,2005,Action,0.18,0.14,0.0,0.05,0.36,53.0,E,0
NBA Live 06,PSP,2005,Sports,0.39,0.0,0.0,0.03,0.42,80.0,E,0
Charlie and the Chocolate Factory,PS2,2005,Adventure,0.17,0.13,0.0,0.04,0.35,35.0,E,0
Frogger: Ancient Shadow,PS2,2005,Platform,0.05,0.04,0.0,0.01,0.1,54.0,E,0
Sega Casino,DS,2005,Misc,0.08,0.0,0.0,0.01,0.09,61.0,T,0
Harry Potter and the Goblet of Fire,GC,2005,Action,0.32,0.08,0.0,0.01,0.42,69.0,E10+,0
NFL Street 2 Unleashed,PSP,2005,Sports,0.34,0.0,0.0,0.03,0.37,73.0,E,0
Top Spin,PS2,2005,Sports,0.05,0.04,0.0,0.01,0.1,67.0,E,0
Psychonauts,XB,2005,Platform,0.09,0.03,0.0,0.0,0.12,88.0,T,0
WWE Day of Reckoning 2,GC,2005,Fighting,0.26,0.07,0.0,0.01,0.34,76.0,T,0
Battles of Prince of Persia,DS,2005,Strategy,0.1,0.01,0.0,0.01,0.12,64.0,E10+,0
Cabela's Dangerous Hunts 2,XB,2005,Sports,0.08,0.02,0.0,0.0,0.11,63.0,T,0
Tom Clancy's Splinter Cell: Chaos Theory,GC,2005,Action,0.08,0.02,0.0,0.0,0.1,81.0,M,0
Dead to Rights II,XB,2005,Shooter,0.08,0.02,0.0,0.0,0.11,54.0,M,0
Death By Degrees,PS2,2005,Action,0.05,0.04,0.0,0.01,0.1,51.0,M,0
From Russia With Love,PS2,2005,Action,0.34,0.01,0.0,0.06,0.41,69.0,T,0
"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005,Platform,0.34,0.01,0.0,0.06,0.41,50.0,E,0
